id,section,indicator_name,subsection
0,"Затраты на рабочую силу, заработная плата работников",Дифференциация средней начисленной заработной платы работников организаций,"Соотношение средней заработной платы 10% работников с наибольшей и 10% работников с наименьшей заработной платой, в разах"
1,"Затраты на рабочую силу, заработная плата работников",Дифференциация средней начисленной заработной платы работников организаций,"Удельный вес численности работников, имеющих заработную плату ниже величины прожиточного минимума, процентов"
2,Социальная защита,"Распределение численности пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации, по видам пенсионного обеспечения и категориям пенсионеров",Всего пенсионеров
3,Социальная защита,"Распределение численности пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации, по видам пенсионного обеспечения и категориям пенсионеров",Из них получающих пенсии: по инвалидности
4,Социальная защита,"Распределение численности пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации, по видам пенсионного обеспечения и категориям пенсионеров",Из них получающих пенсии: по случаю потери кормильца (на каждого нетрудоспособного члена семьи)
5,Социальная защита,"Распределение численности пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации, по видам пенсионного обеспечения и категориям пенсионеров",Из них получающих пенсии: по старости
6,Социальная защита,"Распределение численности пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации, по видам пенсионного обеспечения и категориям пенсионеров",Из них получающих пенсии: пострадавшие в результате радиационных и техногенных катастроф и члены их семей
7,Социальная защита,"Распределение численности пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации, по видам пенсионного обеспечения и категориям пенсионеров",Из них получающих пенсии: социальные
8,Социальная защита,"Распределение численности пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации, по видам пенсионного обеспечения и категориям пенсионеров",Из них получающих пенсии: федеральные государственные гражданские служащие
9,Социальная защита,"Численность пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации",Численность пенсионеров (на 1 января): на 1000 человек населения
10,Социальная защита,"Численность пенсионеров, состоящих на учете в системе Фонда пенсионного и социального страхования Российской Федерации",Численность пенсионеров (на 1 января): тыс. человек
11,Строительство и рынок жилья,"Задолженность по жилищным кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам",CD
12,Строительство и рынок жилья,"Задолженность по жилищным кредитам в рублях, предоставленным кредитными организациями физическим лицам",CD
13,Строительство и рынок жилья,"Задолженность по ипотечным жилищным кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам",CD
14,Строительство и рынок жилья,"Задолженность по ипотечным жилищным кредитам в рублях, предоставленным кредитными организациями физическим лицам",CD
15,Уровень жизни населения,Медианная заработная плата работников организаций,CD
16,Уровень жизни населения,Численность пенсионеров: Всего,CD
17,Уровень жизни населения,Численность пенсионеров: На 1000 человек населения,CD
18,Финансы,"Депозиты (вклады) юридических и физических лиц в иностранной валюте, привлеченные кредитными организациями: Всего",CD
19,Финансы,"Депозиты (вклады) юридических и физических лиц в иностранной валюте, привлеченные кредитными организациями: Физических лиц",CD
20,Финансы,"Депозиты (вклады) юридических и физических лиц в рублях, привлеченные кредитными организациями: Всего",CD
21,Финансы,"Депозиты (вклады) юридических и физических лиц в рублях, привлеченные кредитными организациями: Физических лиц",CD
22,Финансы,"Задолженность по кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам: Всего",CD
23,Финансы,"Задолженность по кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам: По жилищным кредитам",CD
24,Финансы,"Задолженность по кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам: По ипотечным жилищным кредитам",CD
25,Финансы,"Задолженность по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам",CD
26,Финансы,"Задолженность по кредитам в рублях, предоставленным кредитными организациями физическим лицам: Всего",CD
27,Финансы,"Задолженность по кредитам в рублях, предоставленным кредитными организациями физическим лицам: По жилищным кредитам",CD
28,Финансы,"Задолженность по кредитам в рублях, предоставленным кредитными организациями физическим лицам: По ипотечным жилищным кредитам",CD
29,Финансы,"Задолженность по кредитам в рублях, предоставленным кредитными организациями юридическим лицам",CD
30,Финансы,Средства (вклады) физических лиц на валютных счетах в ПАО Сбербанк,CD
31,Финансы,Средства (вклады) физических лиц на рублевых счетах в ПАО Сбербанк,CD
32,Финансы,Число действующих кредитных организаций,CD
33,Финансы,Число действующих филиалов кредитных организаций в субъекте,CD
