id,object_name,indicator_value
0,Алтайский край,6.7
0,Амурская область,9.2
0,Архангельская область (без автономного округа),6.6
0,Архангельская область (с автономным округом),7.0
0,Астраханская область,10.3
0,Белгородская область,7.5
0,Брянская область,7.5
0,Владимирская область,8.3
0,Волгоградская область,8.1
0,Вологодская область,8.0
0,Воронежская область,7.7
0,Еврейская автономная область,7.7
0,Забайкальский край,8.9
0,Ивановская область,7.0
0,Иркутская область,7.4
0,Кабардино-Балкарская Республика,6.7
0,Калининградская область,8.8
0,Калужская область,9.0
0,Камчатский край,6.7
0,Карачаево-Черкесская Республика,6.7
0,Кемеровская область,7.7
0,Кировская область,7.2
0,Костромская область,8.6
0,Краснодарский край,9.0
0,Красноярский край,8.3
0,Курганская область,7.8
0,Курская область,7.8
0,Ленинградская область,9.0
0,Липецкая область,8.4
0,Магаданская область,7.2
0,Москва,16.2
0,Московская область,11.8
0,Мурманская область,6.4
0,Ненецкий автономный округ,7.1
0,Нижегородская область,9.6
0,Новгородская область,8.3
0,Новосибирская область,9.0
0,Омская область,8.4
0,Оренбургская область,7.8
0,Орловская область,7.7
0,Пензенская область,7.4
0,Пермский край,8.0
0,Приморский край,8.7
0,Псковская область,7.4
0,Республика Адыгея,8.2
0,Республика Алтай,6.3
0,Республика Башкортостан,8.1
0,Республика Бурятия,7.1
0,Республика Дагестан,6.5
0,Республика Ингушетия,5.4
0,Республика Калмыкия,5.5
0,Республика Карелия,6.0
0,Республика Коми,6.9
0,Республика Крым,8.7
0,Республика Марий Эл,10.2
0,Республика Мордовия,7.1
0,Республика Саха (Якутия),6.9
0,Республика Северная Осетия — Алания,6.5
0,Республика Татарстан,9.9
0,Республика Тыва,5.5
0,Республика Хакасия,7.1
0,Ростовская область,9.2
0,Рязанская область,8.7
0,Самарская область,8.6
0,Санкт-Петербург,11.9
0,Саратовская область,8.0
0,Сахалинская область,8.8
0,Свердловская область,9.6
0,Севастополь,8.5
0,Смоленская область,8.4
0,Ставропольский край,8.3
0,Тамбовская область,7.9
0,Тверская область,8.8
0,Томская область,8.0
0,Тульская область,8.8
0,Тюменская область (без автономных округов),9.5
0,Тюменская область (с автономными округами),8.6
0,Удмуртская Республика,8.0
0,Ульяновская область,9.1
0,Хабаровский край,7.9
0,Ханты-Мансийский автономный округ — Югра,6.5
0,Челябинская область,8.3
0,Чеченская Республика,5.6
0,Чувашская Республика,7.8
0,Чукотский автономный округ,8.0
0,Ямало-Ненецкий автономный округ,7.4
0,Ярославская область,8.2
1,Алтайский край,2.0
1,Амурская область,0.8
1,Архангельская область (без автономного округа),1.0
1,Архангельская область (с автономным округом),1.1
1,Астраханская область,6.8
1,Белгородская область,1.7
1,Брянская область,3.8
1,Владимирская область,3.7
1,Волгоградская область,3.4
1,Вологодская область,1.5
1,Воронежская область,1.0
1,Еврейская автономная область,1.7
1,Забайкальский край,1.8
1,Ивановская область,5.1
1,Иркутская область,0.8
1,Кабардино-Балкарская Республика,10.0
1,Калининградская область,1.7
1,Калужская область,2.1
1,Камчатский край,0.3
1,Карачаево-Черкесская Республика,6.9
1,Кемеровская область,1.1
1,Кировская область,2.9
1,Костромская область,4.6
1,Краснодарский край,2.2
1,Красноярский край,1.0
1,Курганская область,2.0
1,Курская область,1.7
1,Ленинградская область,1.1
1,Липецкая область,2.4
1,Магаданская область,0.5
1,Москва,2.1
1,Московская область,1.1
1,Мурманская область,0.4
1,Ненецкий автономный округ,1.2
1,Нижегородская область,2.1
1,Новгородская область,3.2
1,Новосибирская область,1.4
1,Омская область,1.8
1,Оренбургская область,1.6
1,Орловская область,4.9
1,Пензенская область,3.0
1,Пермский край,1.3
1,Приморский край,1.3
1,Псковская область,5.2
1,Республика Адыгея,4.5
1,Республика Алтай,1.0
1,Республика Башкортостан,1.3
1,Республика Бурятия,1.8
1,Республика Дагестан,12.3
1,Республика Ингушетия,14.4
1,Республика Калмыкия,3.8
1,Республика Карелия,0.8
1,Республика Коми,0.7
1,Республика Крым,6.3
1,Республика Марий Эл,3.8
1,Республика Мордовия,2.9
1,Республика Саха (Якутия),1.2
1,Республика Северная Осетия — Алания,12.0
1,Республика Татарстан,1.0
1,Республика Тыва,2.8
1,Республика Хакасия,2.1
1,Ростовская область,3.7
1,Рязанская область,3.4
1,Самарская область,2.2
1,Санкт-Петербург,1.1
1,Саратовская область,3.7
1,Сахалинская область,0.4
1,Свердловская область,1.2
1,Севастополь,3.3
1,Смоленская область,5.3
1,Ставропольский край,3.8
1,Тамбовская область,4.0
1,Тверская область,4.5
1,Томская область,1.4
1,Тульская область,1.7
1,Тюменская область (без автономных округов),1.1
1,Тюменская область (с автономными округами),0.7
1,Удмуртская Республика,1.7
1,Ульяновская область,3.9
1,Хабаровский край,1.2
1,Ханты-Мансийский автономный округ — Югра,0.2
1,Челябинская область,1.3
1,Чеченская Республика,17.4
1,Чувашская Республика,3.4
1,Чукотский автономный округ,3.2
1,Ямало-Ненецкий автономный округ,1.4
1,Ярославская область,2.3
2,Алтайский край,695.0
2,Амурская область,207.0
2,Архангельская область (без автономного округа),380.0
2,Архангельская область (с автономным округом),394.0
2,Астраханская область,244.0
2,Белгородская область,483.0
2,Брянская область,391.0
2,Владимирская область,417.0
2,Волгоградская область,689.0
2,Вологодская область,352.0
2,Воронежская область,697.0
2,Еврейская автономная область,40.0
2,Забайкальский край,258.0
2,Ивановская область,291.0
2,Иркутская область,702.0
2,Кабардино-Балкарская Республика,193.0
2,Калининградская область,273.0
2,Калужская область,298.0
2,Камчатский край,86.0
2,Карачаево-Черкесская Республика,121.0
2,Кемеровская область,781.0
2,Кировская область,401.0
2,Костромская область,192.0
2,Краснодарский край,1604.0
2,Красноярский край,803.0
2,Курганская область,267.0
2,Курская область,362.0
2,Ленинградская область,476.0
2,Липецкая область,359.0
2,Магаданская область,41.0
2,Москва,3044.0
2,Московская область,1973.0
2,Мурманская область,226.0
2,Ненецкий автономный округ,14.0
2,Нижегородская область,965.0
2,Новгородская область,184.0
2,Новосибирская область,798.0
2,Омская область,554.0
2,Оренбургская область,573.0
2,Орловская область,251.0
2,Пензенская область,408.0
2,Пермский край,748.0
2,Приморский край,491.0
2,Псковская область,189.0
2,Республика Адыгея,117.0
2,Республика Алтай,58.0
2,Республика Башкортостан,1138.0
2,Республика Бурятия,248.0
2,Республика Дагестан,686.0
2,Республика Ингушетия,116.0
2,Республика Калмыкия,72.0
2,Республика Карелия,222.0
2,Республика Коми,275.0
2,Республика Крым,546.0
2,Республика Марий Эл,202.0
2,Республика Мордовия,236.0
2,Республика Саха (Якутия),273.0
2,Республика Северная Осетия — Алания,183.0
2,Республика Татарстан,1105.0
2,Республика Тыва,82.0
2,Республика Хакасия,144.0
2,Ростовская область,1174.0
2,Рязанская область,350.0
2,Самарская область,908.0
2,Санкт-Петербург,1455.0
2,Саратовская область,674.0
2,Сахалинская область,155.0
2,Свердловская область,1272.0
2,Севастополь,114.0
2,Смоленская область,275.0
2,Ставропольский край,694.0
2,Тамбовская область,318.0
2,Тверская область,380.0
2,Томская область,286.0
2,Тульская область,495.0
2,Тюменская область (без автономных округов),413.0
2,Тюменская область (с автономными округами),1034.0
2,Удмуртская Республика,441.0
2,Ульяновская область,386.0
2,Хабаровский край,345.0
2,Ханты-Мансийский автономный округ — Югра,473.0
2,Челябинская область,996.0
2,Чеченская Республика,443.0
2,Чувашская Республика,353.0
2,Чукотский автономный округ,15.0
2,Ямало-Ненецкий автономный округ,149.0
2,Ярославская область,376.0
3,Алтайский край,26.0
3,Амурская область,8.5
3,Архангельская область (без автономного округа),11.1
3,Архангельская область (с автономным округом),11.6
3,Астраханская область,10.7
3,Белгородская область,31.0
3,Брянская область,15.6
3,Владимирская область,20.0
3,Волгоградская область,36.0
3,Вологодская область,14.9
3,Воронежская область,44.4
3,Еврейская автономная область,1.5
3,Забайкальский край,11.8
3,Ивановская область,14.4
3,Иркутская область,34.0
3,Кабардино-Балкарская Республика,17.2
3,Калининградская область,11.8
3,Калужская область,14.1
3,Камчатский край,2.7
3,Карачаево-Черкесская Республика,19.0
3,Кемеровская область,28.0
3,Кировская область,15.5
3,Костромская область,9.4
3,Краснодарский край,92.9
3,Красноярский край,35.6
3,Курганская область,10.5
3,Курская область,26.9
3,Ленинградская область,21.5
3,Липецкая область,21.8
3,Магаданская область,1.3
3,Москва,168.8
3,Московская область,93.5
3,Мурманская область,5.7
3,Ненецкий автономный округ,0.5
3,Нижегородская область,49.0
3,Новгородская область,9.1
3,Новосибирская область,33.6
3,Омская область,22.1
3,Оренбургская область,26.1
3,Орловская область,10.0
3,Пензенская область,18.2
3,Пермский край,30.8
3,Приморский край,17.3
3,Псковская область,9.1
3,Республика Адыгея,7.6
3,Республика Алтай,2.5
3,Республика Башкортостан,45.9
3,Республика Бурятия,13.2
3,Республика Дагестан,136.9
3,Республика Ингушетия,29.8
3,Республика Калмыкия,4.8
3,Республика Карелия,8.0
3,Республика Коми,10.0
3,Республика Крым,32.5
3,Республика Марий Эл,11.0
3,Республика Мордовия,12.7
3,Республика Саха (Якутия),12.5
3,Республика Северная Осетия — Алания,16.7
3,Республика Татарстан,61.4
3,Республика Тыва,6.5
3,Республика Хакасия,3.8
3,Ростовская область,80.0
3,Рязанская область,19.8
3,Самарская область,42.8
3,Санкт-Петербург,63.0
3,Саратовская область,29.0
3,Сахалинская область,4.0
3,Свердловская область,51.3
3,Севастополь,4.5
3,Смоленская область,13.9
3,Ставропольский край,47.1
3,Тамбовская область,20.9
3,Тверская область,18.0
3,Томская область,8.5
3,Тульская область,25.6
3,Тюменская область (без автономных округов),16.5
3,Тюменская область (с автономными округами),36.1
3,Удмуртская Республика,17.3
3,Ульяновская область,19.0
3,Хабаровский край,11.4
3,Ханты-Мансийский автономный округ — Югра,15.5
3,Челябинская область,37.0
3,Чеченская Республика,123.1
3,Чувашская Республика,15.9
3,Чукотский автономный округ,0.6
3,Ямало-Ненецкий автономный округ,4.2
3,Ярославская область,15.4
4,Алтайский край,22.1
4,Амурская область,6.7
4,Архангельская область (без автономного округа),8.4
4,Архангельская область (с автономным округом),9.0
4,Астраханская область,14.3
4,Белгородская область,17.0
4,Брянская область,10.3
4,Владимирская область,13.1
4,Волгоградская область,37.0
4,Вологодская область,10.7
4,Воронежская область,26.5
4,Еврейская автономная область,1.0
4,Забайкальский край,10.8
4,Ивановская область,8.6
4,Иркутская область,23.7
4,Кабардино-Балкарская Республика,11.2
4,Калининградская область,8.0
4,Калужская область,9.0
4,Камчатский край,3.1
4,Карачаево-Черкесская Республика,5.2
4,Кемеровская область,28.2
4,Кировская область,9.0
4,Костромская область,7.0
4,Краснодарский край,65.2
4,Красноярский край,25.7
4,Курганская область,10.4
4,Курская область,11.6
4,Ленинградская область,14.3
4,Липецкая область,15.3
4,Магаданская область,1.7
4,Москва,69.2
4,Московская область,59.5
4,Мурманская область,5.5
4,Ненецкий автономный округ,0.4
4,Нижегородская область,33.6
4,Новгородская область,6.4
4,Новосибирская область,27.3
4,Омская область,24.1
4,Оренбургская область,30.5
4,Орловская область,9.0
4,Пензенская область,15.1
4,Пермский край,26.7
4,Приморский край,16.2
4,Псковская область,5.5
4,Республика Адыгея,6.4
4,Республика Алтай,2.6
4,Республика Башкортостан,49.3
4,Республика Бурятия,10.6
4,Республика Дагестан,36.0
4,Республика Ингушетия,7.1
4,Республика Калмыкия,2.9
4,Республика Карелия,5.0
4,Республика Коми,7.2
4,Республика Крым,15.4
4,Республика Марий Эл,7.5
4,Республика Мордовия,8.0
4,Республика Саха (Якутия),8.0
4,Республика Северная Осетия — Алания,9.0
4,Республика Татарстан,31.5
4,Республика Тыва,5.9
4,Республика Хакасия,4.8
4,Ростовская область,46.7
4,Рязанская область,12.2
4,Самарская область,41.5
4,Санкт-Петербург,32.1
4,Саратовская область,31.8
4,Сахалинская область,5.0
4,Свердловская область,48.1
4,Севастополь,2.6
4,Смоленская область,10.0
4,Ставропольский край,30.9
4,Тамбовская область,11.2
4,Тверская область,13.7
4,Томская область,9.0
4,Тульская область,17.0
4,Тюменская область (без автономных округов),18.2
4,Тюменская область (с автономными округами),38.5
4,Удмуртская Республика,12.7
4,Ульяновская область,14.7
4,Хабаровский край,11.5
4,Ханты-Мансийский автономный округ — Югра,15.4
4,Челябинская область,41.0
4,Чеченская Республика,19.3
4,Чувашская Республика,12.8
4,Чукотский автономный округ,0.6
4,Ямало-Ненецкий автономный округ,5.0
4,Ярославская область,13.6
5,Алтайский край,566.0
5,Амурская область,164.3
5,Архангельская область (без автономного округа),336.1
5,Архангельская область (с автономным округом),347.7
5,Астраханская область,198.8
5,Белгородская область,382.8
5,Брянская область,244.5
5,Владимирская область,354.2
5,Волгоградская область,573.0
5,Вологодская область,297.5
5,Воронежская область,569.4
5,Еврейская автономная область,32.0
5,Забайкальский край,196.4
5,Ивановская область,245.7
5,Иркутская область,551.0
5,Кабардино-Балкарская Республика,144.0
5,Калининградская область,230.6
5,Калужская область,234.8
5,Камчатский край,74.5
5,Карачаево-Черкесская Республика,80.0
5,Кемеровская область,625.4
5,Кировская область,345.6
5,Костромская область,161.0
5,Краснодарский край,1301.8
5,Красноярский край,654.0
5,Курганская область,217.2
5,Курская область,262.0
5,Ленинградская область,403.2
5,Липецкая область,284.0
5,Магаданская область,34.9
5,Москва,2596.0
5,Московская область,1679.7
5,Мурманская область,201.5
5,Ненецкий автономный округ,11.5
5,Нижегородская область,813.6
5,Новгородская область,153.9
5,Новосибирская область,652.9
5,Омская область,456.0
5,Оренбургская область,460.6
5,Орловская область,156.0
5,Пензенская область,323.0
5,Пермский край,621.4
5,Приморский край,407.0
5,Псковская область,157.4
5,Республика Адыгея,92.8
5,Республика Алтай,41.0
5,Республика Башкортостан,937.3
5,Республика Бурятия,187.3
5,Республика Дагестан,391.0
5,Республика Ингушетия,48.8
5,Республика Калмыкия,55.5
5,Республика Карелия,192.6
5,Республика Коми,236.7
5,Республика Крым,454.9
5,Республика Марий Эл,166.3
5,Республика Мордовия,190.7
5,Республика Саха (Якутия),221.7
5,Республика Северная Осетия — Алания,139.1
5,Республика Татарстан,928.2
5,Республика Тыва,51.0
5,Республика Хакасия,116.6
5,Ростовская область,956.9
5,Рязанская область,263.5
5,Самарская область,760.9
5,Санкт-Петербург,1266.0
5,Саратовская область,567.0
5,Сахалинская область,134.5
5,Свердловская область,1056.5
5,Севастополь,98.9
5,Смоленская область,230.3
5,Ставропольский край,553.0
5,Тамбовская область,259.2
5,Тверская область,320.0
5,Томская область,236.1
5,Тульская область,278.0
5,Тюменская область (без автономных округов),335.2
5,Тюменская область (с автономными округами),870.2
5,Удмуртская Республика,367.2
5,Ульяновская область,313.0
5,Хабаровский край,290.8
5,Ханты-Мансийский автономный округ — Югра,409.0
