feature_name,weight
type_highway:footway_share,1000.0
type_barrier:lift_gate_share,363.8855564548177
type_barrier:gate_share,313.19234367242746
type_highway:path_share,294.79210452023716
type_building:church_share,181.7876935922999
type_highway:crossing_share,162.15897735804535
type_highway:steps_share,145.8592253744409
type_highway:service_share,75.20941455491445
type_building:apartments_share,70.77861074994355
type_building:school_share,58.61111839845473
type_building:hospital_share,57.57092692275942
type_amenity:kindergarten_share,39.61043796955637
type_highway:tertiary_share,39.07999833368887
type_building:roof_share,29.725487037236586
type_amenity:hospital_share,27.462030667381867
type_man_made:chimney_share,25.99862260995511
type_historic:memorial_share,21.885369873172653
type_landuse:military_share,19.332671135272722
type_building:industrial_share,16.105310226882406
type_building:garage_share,15.823807896594024
type_leisure:park_share,12.454262361367412
type_building:house_share,8.869365594474806
type_building:hangar_share,7.781858590351899
type_amenity:school_share,7.578856168277719
type_building:retail_share,6.8494789289096
type_landuse:industrial_share,5.64303012503897
type_building:service_share,5.4451647618394405
type_leisure:playground_share,4.983443694566204
type_type:multipolygon_share,3.880500008381062
type_highway:pedestrian_share,3.4680612618697335
type_man_made:mast_share,3.213257024350739
type_building:dormitory_share,2.9326297892947313
type_highway:unclassified_share,2.8901215886632854
type_building:residential_share,2.7191730766964706
type_landuse:quarry_share,2.5648019898055416
type_type:restriction_share,2.2255730313975715
type_building:garages_share,1.9723785069807775
type_highway:residential_share,1.8610260400126581
type_building:commercial_share,1.613368467769679
type_natural:grassland_share,1.2745513923429013
type_highway:living_street_share,0.7183937636888276
type_amenity:fuel_share,0.39917967573812857
type_landuse:residential_share,0.23067974672327596
type_barrier:wall_share,0.16729623852357725
type_natural:water_share,0.10247005129121638
type_amenity:parking_share,0.048395028394512186
type_landuse:commercial_share,0.01497321716415516
type_building:shed_share,0.014111479814634413
type_man_made:water_tower_share,0.0022699677154827606
type_landuse:farmland_share,0.0
